NUMBERS;NAME;GROUP;DESCRIPTION;STATUS
E123;Amaranth (FD&C Red 2);food colors;It is used as a synthetic coloring agent in food and beverage products, as well as in photography. E123 gives the products a red purple coloration and is highly soluble in water, so it is useful as a dye in photography. E123 is often used in wines and liquors. E123 is associated with asthma and eczema, as well as with hyperactivity in children. There have also been some doubts about the possibility that E123 is carcinogenic. People with intolerance to salicylates may find that they are intolerant to E123, because the coloration is an azo dye. It is Halal if it is used as a powder coloring. The liquid dye is Halal only if only Halal solvents are used.;Doubtful, should be certified
E124;Ponceau 4R (Cochineal Red A, Brilliant Scarlet 4R);food colors;It is used as a synthetic coloring agent in food and beverage products. E124 is a synthetic carbon tar and an azo dye that turns the food products bright red. It is highly soluble in water. Some believe that E124 worsens asthma, causes allergic reactions (especially in those allergic to aspirin) and possibly also acts as a carcinogen in animals. Keep in mind that this additive can be generated synthetically (in the case of Ponceau 4R) or naturally in the case (Cochineal Red A). The Cochineal Network A is an insect, that's why it's considered Haram. But if Ponceau 4R is synthetic, in this case it is Halal.;Doubtful, should be certified
E125;Ponceau SX, Scarlet GN;food colors;E125 is a synthetic dye. It is deep red. It is obtained derived from petroleum. Belongs to the group of i azo dyes i. E125 is used as a disodium salt. In the United States, its use in foods is not allowed, it can only be used in medicines and cosmetics applied externally. An exception was added in 1965 to allow the coloration of maraschino cherries, which were then considered primarily decorative and inedible. This exception was repealed in 1976 due to growing evidence of their safety concerns. Its long-term use could be carcinogenic. p Prohibited in Europe since 1976 and in the United States since 1988 (except medicines and cosmetics for external use). p Halal if used as a 100% dry color. Mushbooh if used as a liquid color, verify the Halal state of the solvent.;Doubtful, should be certified, unsafe
E126;Ponceau 6R;food colors;E126 is a synthetic dye. It is deep red. It is obtained derived from petroleum. Belongs to the group of i azo dyes i. Although prohibited in the European Union, it is still authorized in cosmetic ingredients, where it can be renamed as CI 16250. In small doses it is a possible cause of hyperactivity in children. Halal if used as a 100% dry color. Mushbooh if used as a liquid color, verify the Halal state of the solvent.;Doubtful, should be certified, unsafe
E127;Erythrosine (FD&C Red 3);food colors;It is used as a synthetic coloring agent in food and beverage products, as well as in photography. E127 is cherry red in color to pink, violet or purple. It is derived from fluorescein by extraction with iodine and iodic acid in alcohol. E127 is a pink red colorant that contains iodine and is highly soluble in water. It can also be used in dentistry, as a plate revealing agent, and in photography, as a printing ink. In the case that the product is dry, it is Halal. But it is Haram if the extraction process is used alcohol (Case that is liquid product). For this reason we consider it Mushbooh.;Doubtful, should be certified
E128;Red 2G;food colors;E128 gives a red coloration to food products. It is used as a synthetic coloring agent in food and beverage products. It is highly soluble in water and tends to be used in meat and confectionery products. In low doses can cause hyperactivity in children. Because it is a Azo dye may cause intolerance in allergic people to salicylic acid. In large doses it is a histamine releaser and can increase the symptoms of asthma, produce eczema, hives and insomnia. Within the intestine it can be converted into the toxic compound Aniline and cause serious damage. In the long term it could be carcinogenic. Mushbooh is considered for now because it is unknown how it is manufactured. It is advisable not to consume it.;Doubtful, should be certified. unsafe
E129;Allura Red AC (FD&C Red 40);food colors;It is obtained derived from petroleum. It is used as a synthetic coloring agent in food and beverage products, as well as in medicine and cosmetics. E129 is an azo dye that gives the products a dark orange red coloration. It was originally introduced to act as an alternative to amaranth (E123). This coloration has been related to bladder cancer in mice, after laboratory tests. This additive is Halal.;Doubtful, should be certified
E130;Indanthrene blue RS;food colors;It is a dark blue additive. It is obtained by the oxidation of Anthracene, an aromatic hydrocarbon. When derived from a hydrocarbon it is potentially carcinogenic. It produces allergies and hives in a few minutes. Mushbooh is considered for now because it is unknown how it is manufactured. It is advisable not to consume it.;Doubtful, should be certified, unsafe
E131;Patent Blue V;food colors;It is used as a synthetic coloring agent in food and beverage products. E131 is highly soluble in water and gives it a blue color. Some allergic reactions have been reported along with the intake of E131. Other side effects have included low blood pressure, nausea and skin irritation. Because it is an azo dye can cause intolerance in people allergic to salicylic acid. In the long term it could be carcinogenic.;Doubtful, should be certified
E132;Indigo carmine (indigotine, FD&C Blue 2);food colors;It is used as a synthetic coloring agent in food and beverage products. E132 is highly soluble in water and gives it a blue color. It is most commonly used as an additive for capsules and tablets. It is a coal tar derivative and can also be used as a biological dye. E132 occurs naturally in the indigofera tinctoria shrub, but is always synthesized when used commercially. It has been found in some studies that E132 causes nausea, vomiting, high blood pressure (hypertension), difficulty breathing and skin irritation. It is a dye that is used to be extracted from plants but is now produced synthetically and is Halal if it is produced synthetically from Halal sources. Liquid for solvent required, liquid for Halal only if Halal solvent is used.;Doubtful, should be certified
E133;Brilliant Blue FCF (FD&C Blue 1);food colors;t is used as a synthetic coloring agent in food and beverage products, but mainly in cosmetics. It is obtained derived from petroleum. E133 is highly soluble in water and gives a blue color to food products. E133 can be used together with tartrazine (E102) to give various shades of green. The coloration can also be used in inks and as fabric dye. It is known that E133 causes an allergic reaction (although this is thought to be rare);Doubtful, should be certified
E140;Chlorophylls and Chlorophyllins: (i) Chlorophylls (ii) Chlorophyllins;food colors;It is used as a synthetic dye in food products and beverages. It is divided into 2 classes: ul li E140 (i): chlorophylls li li E140 (ii): chlorophyllins li ul E140 (i) and E140 (ii) give a dark green color and occur naturally (for photosynthesis) on all floors. E140 (i) and E140 (ii) can be used in cosmetics and medicines, as well as in food products. When used commercially, chlorophyllins and chlorophyllins tend to be extracted from plants such as alfalfa, grass and nettles. These dyes are soluble in water, although their intensity can disappear with time. If 100% powder is used it is Halal. Sometimes water or vegetable oil is used as a solvent, then Halal. But sometimes alcohol is used, in this case it is Haram. But it is advisable to be careful as it sometimes contains PIG FAT (Fat Pig) and that's why we put it in the state of Mushbooh;Doubtful, should be certified
E141(i),(ii);Copper complexes of chlorophylls and chlorophyllins (i) Copper complexes of chlorophylls (ii) Copper complexes of chlorophyllins;food colors;It is used as a synthetic dye in food products and beverages. E141 (i) includes chlorophyll copper complexes. It is divided into 2 classes: ul  li E141 (i): Clorophyll Cupric Complex li  li E141 (ii): Cupric Complex of Chlorophyllin li ul These coloring agents provide a tone very similar to olive green. However, E141 (i) and E141 (ii) are more stable forms than E140 (i) and E140 (ii) because the magnesium ion in chlorophyll in E140 (i) and E140 (ii) is replaced by copper in E141 ( i) and E141 (ii). E141 (i) is soluble in water, while E141 (ii) is not soluble in water but is soluble in oil. The copper content of the dyes can be released when heated, but must not reach dangerous levels. If 100% powder is used then it is Halal. Sometimes water or vegetable oil is used as a solvent, then it is Halal. But it is not advisable as it can sometimes contain PIG FAT (Fat Pig) and for this reason this additive is Mushbooh;Doubtful, should be certified
E142;Green S;food colors;It is used as a synthetic coloring agent in food and beverage products. The derivative of the hydrocarbon Trifenilmethane is obtained. E142 is moderately soluble in water, but requires a neutral pH environment to remain stable. In some cases, allergic reactions and anemia have been reported after contact with high concentrations of this dye. Potentially long-term carcinogenic. However, E142 is generally considered safe in small quantities.;Doubtful, should be certified
E143;Fast Green FCF (FD&C Green 3);food colors;It is obtained by synthesis from hydrocarbons, specifically benzene. Carcinogenic effects have been found in tests with laboratory animals, as well as mutagenic effects in cell cultures, experimental animals and in humans.;Halal
E150;Caramel;food colors;These are used as synthetic coloring agents in food and beverage products. It is dark brown. It is obtained by caramelization with reagents of sugars such as glucose syrup or fructose, extracted from carbohydrates such as corn or wheat, which are the most used in the USA and Europe. It is divided into 4 classes depending on the reagent used in its manufacture: ul  li E150A: Caustic Candy li  li E150B: Caustic Sulfite Caramel li  li E150C: Ammonic Caramel li  li E150D: Ammonium Sulfite Caramel li ul The E150 give a dark brown color to foods and are produced by heat treatment of sucrose. These dyes can sometimes add a bitter taste to the food products that contain them. E150 can also act as an emulsifier in soft drinks. There have been some reported concerns that associate hyperactivity in children with these food colors, although we could not find detailed evidence of this. It is known that E150C and E150D cause intestinal problems if large amounts are consumed and decrease the absorption of Vitamin B6. In the long term they could be carcinogenic, in some places like the State of California in the USA, they have decided to indicate on their labels this ingredient as a possible carcinogen.;Doubtful, should be certified
E150a;Plain caramel;food colors;Colouring agent. Check E150;Doubtful, should be certified
E150b;Caustic sulfite caramel;food colors;Colouring agent. Check E150;Doubtful, should be certified
E150c;Ammonia caramel;food colors;Colouring agent. Check E150;Doubtful, should be certified
E150d;Sulfite ammonia caramel;food colors;Colouring agent. Check E150;Doubtful, should be certified
E151;Black PN, Brilliant Black BN;food colors;It is used as a synthetic coloring agent in food and beverage products. It is obtained derived from petroleum. E151 is a black synthetic carbon tar and azo dye, and is highly soluble in water. People with intolerance to salicylates may find that they are also intolerant to E151, because the coloration is an azo dye. E151 is also suspected of exacerbating asthma. In the long term it could be carcinogenic.;Doubtful, should be certified
E153;Vegetable carbon;food colors;It is used as a natural coloring agent in food and beverage products. It is black. It is obtained from the ashes produced by burning wood, coconut shells and other vegetable waste. E153 is produced from burning plant material, but it can also be produced from charcoal. E153 is not soluble in water, which makes it useful as a filtering or clarifying agent, but limits its use in food and beverage products. Halal if used as a 100% dry color. Halal if used as a liquid color, the solvent has to be Halal. Try to avoid it, since sometimes it has PIG FAT (pork fat) (most likely);Doubtful, should be certified
E154;Brown FK (kipper brown);food colors;It is used as a synthetic coloring agent in food and beverage products. It is derived from petroleum. E154 is a red-brown coloring. It is a mixture of azo dyes, which is highly soluble in water. E154 tends to be used in fish to keep meat a healthy color, even after cooking. It has been found that E154 exacerbates asthma and, when taken in combination with benzoates, can induce hyperactivity in children. People with intolerance to salicylates may also find that they are intolerant to E154, because the coloration is an azo dye. In the long term, it could be carcinogenic. In Europe, it was not possible to guarantee to consumers the safety of this additive, which is why it has now been removed from the official list of additives. Halal if used as a 100% dry color. Mushbooh if used as a liquid color, the solvent has to be Halal.;Doubtful, should be certified
E155;Brown HT (chocolate brown HT);food colors;It is used as a synthetic coloring agent in food and beverage products. It is obtained derived from petroleum. E155 is a chocolate colored azo dye, very soluble in water. It acts as an alternative coloration to that provided by cocoa or caramel. E155 can exacerbate asthma symptoms and cause adverse effects in people allergic to aspirin (see also aspirin in the news), as well as skin irritation. People with intolerance to salicylates may also find that they are intolerant to E155, because the coloration is an azo dye. Halal if used as a 100% dry color. Mushbooh if used as a liquid color, the solvent has to be Halal. (no alcohol);Doubtful, should be certified
E160a(i), (ii), (iii), (iv);"- beta-carotenes,synthetic(i)
- beta-carotenes,vegetable(ii)
- beta-carotenes, blakeslea trispora(iii)";food colors;It is used as a natural coloring agent in food products and beverages. Obtained naturally by extraction in carrots, palm oil and algae or synthetically by microorganism biosynthesis. E160A is a synthetic blend of carotene derived from carrots and is commercially produced on a large scale. However, carotenes also occur naturally in many orange and yellow fruits and vegetables. E160A is not soluble in water and the color intensity tends to fade with exposure to light. Despite being a dye in a natural way, but it is not available in 100% form because it is not soluble in water. Gelatin is added to help mix in liquid products. In the USA UU., Fish gelatin is used, so it is Halal in the USA. UU But in the United Kingdom you can not use fish gelatin, but you can use pork or veal gelatin. For this reason it is Mushbooh.;Doubtful, should be certified
E160b(i), (ii);"- annatto extracts, bixin-based(i)
- annatto extracts, norbixin-based(ii)";food colors;It is used as a natural coloring agent in food products and beverages. The E160B is divided into 3 classes: Annato, Bixina and Norbixina. E160B is a yellow to red dye derived from the seeds of the annatto tree (Bixa orellana). Bixin refers to the fat-soluble form of coloration, while norbixin refers to the water soluble form. In addition to being a food additive, E160B can be used as a coloring agent for body paints and can also act as an agent to aid digestion. E160B has now been introduced as an alternative coloration to tartrazine, which is also known as E102. However, there may still be a possibility that E160B causes an allergic reaction.;Doubtful, should be certified
E160c(ii);Paprika oleoresin: (i) capsanthin, (ii) capsorubin;food colors;It is used as a natural coloring agent in food products and beverages. E160C is an intense red coloring and flavoring, derived from red peppers (capsicum annuum). The peppers are dried and ground before extracting the paprika with solvents. Capsanthin can be used in bird foods to increase the color intensity of the egg yolk. In extreme cases, E160C can irritate the eyes and even cause temporary blindness. Eating large amounts can reduce the effectiveness of the taste buds.;Doubtful, should be certified(ii)
E160d;Lycopene;food colors;It is used as a natural coloring agent in food products and beverages. E160D is a red coloration that occurs naturally in pink grapefruits, watermelons and tomatoes. When used on a large scale for commercial purposes, the coloration is extracted from the tomatoes. It is not soluble in water but it dissolves in oils and organic solvents. The concentration of lycopene in body tissues is higher than in other carotenoids. Some think that E160D reduces the risk of several types of cancer (including breast cancer and prostate cancer) and heart disease. It is Halal if it is dissolved in oil. It is Mushbooh if it dissolves in organic solvents.;Doubtful, should be certified
E160e;Beta-apo-8'-carotenal (C 30);food colors;It is used as a synthetic coloring agent in food and beverage products. E160E is an orange red color and although synthetic when used as a food additive, it is also produced naturally by extraction in carrots, palm oil and algae. As it is not soluble in Water, sometimes the oil is used, in this case it is Halal. But sometimes gelatin is added to help mix in liquid products. In the USA UU., Fish gelatin is used, so it is Halal in the USA. But in the United Kingdom you can not use fish gelatin, but you can use jelly or meat. For this reason it is Mushbooh.;Doubtful, should be certified
E160f;Ethyl ester of beta-apo-8'-carotenic acid (C 30);food colors;It is used as a synthetic coloring agent in food and beverage products. E160F is an orange red color and although synthetic when used as a food additive, palm oil and algae are also produced naturally by extraction in carrots. E160f is partially soluble in water. It occurs naturally in many plants, but can also be produced commercially from E160E. No adverse health effects have been found in relation to the use of E160F. Sometimes gelatin is added to help mix in liquid products. In the United States, fish gelatine is used, so it is Halal. But in the United Kingdom you can not use gelatin from scaling, but you can use gelatin from pork or meat. For this reason it is Mushbooh.;Doubtful, should be certified
E161a;Flavoxanthin;food colors;It is yellow. It is obtained by extracting the petals of Ranunculus (a flower). The halal state depends on what extraction material was used to obtain the pigment which solvent was used for its liquid form. Methanol is sometimes used and that is Haram. For this reason we leave it in the state of Mushbooh.;Doubtful, should be certified
E161b(i), (iii);"Lutein
- lutein from tagetes erecta((i)
- lutein esters from tagetes erecta(iii)";food colors;It is used as a natural coloring agent in food products and beverages. E161B is a yellow orange dye that appears naturally in green leaves, egg whites and marigolds. When required on a commercial scale, E161B is extracted from nettles and grass. This coloration is only partially soluble in water and, therefore, is not widely used. E161B is a xanthophyll (an oxygenated derivative of the carotenes). The halal state depends on what extraction material was used to obtain the pigment which solvent was used for its liquid form. Sometimes methanol (alcohol) is used and that is Haram. For this reason we leave it in the state of Mushbooh.;Doubtful, should be certified, unsafe
E161c;Cryptoxanthin;food colors;E161C is a natural dye. It is yellow. It is obtained by extracting the petals of Physalis (a flower). The halal state depends on what extraction material was used to obtain the pigment which solvent was used for its liquid form. Methanol (alcohol) is sometimes used and that is Haram. For this reason we leave it in the state of Mushbooh.;Doubtful, should be certified, unsafe
E161d;Rubixanthin;food colors;E161D is a natural dye. It is red. It is obtained by extraction of Rosa Mosqueta or Escaramujo. The halal state depends on what extraction material was used to obtain the pigment which solvent was used for its liquid form. Methanol is sometimes used (alcohol) and that is Haram. For this reason we leave it in the state of Mushbooh.;Doubtful, should be certified, unsafe
E161e;Violaxanthin;food colors;It is red. It is obtained by extraction of Thought (a flower). The halal state depends on which extraction material was used to obtain the pigment what solvent was used for its liquid form. Methanol (alcohol) is sometimes used and that is Haram. For this reason we leave it in the state of Mushbooh.;Doubtful, should be certified, unsafe
E161f;Rhodoxanthin;food colors;E161F is a natural dye. It is purple. It is obtained by extracting the petals of Tejo or Taxus Baccata (a flower). The halal state depends on what extraction material was used to obtain the pigment which solvent was used for its liquid form. Methanol is sometimes used (alcohol) and that is Haram. For this reason we leave it in the state of Mushbooh.;Doubtful, should be certified, unsafe
E161g;Canthaxanthin;food colors;It is used as a natural coloring agent in food products and beverages. E161G is a yellow orange dye that occurs naturally in various plants and birds. When prepared on a commercial scale, the dye is derived from flamingo mushrooms and feathers. E161G is a xanthophyll (an oxygenated derivative of the carotenes). In addition to food, coloration is used in self-tanning products. Some studies have indicated that frequent and prolonged close contact with E161G may cause spots on the retina of the eye due to the formation of crystals. It is also suspected that this coloration causes damage to the liver with a prolonged ingestion.    The halal state depends on which extraction material it was used to obtain the pigment which solvent was used for its liquid form. Methanol (alcohol) is sometimes used and that is Haram. For this reason we leave it in the state of Mushbooh.;Doubtful, should be certified
E161h;Zeaxanthin;food colors;E161H is used as a natural coloring agent in food products and beverages. It has a yellow color and is soluble in water. E161H is obtained by extracting several species of dry plants such as algae. E161H there is no secondary effect on health. Sometimes the extraction of E161H does not come synthetically or vegetable, but animal origin and for this reason we mark it as Mushbooh.;Doubtful, should be certified, unsafe
E161i;Citranaxanthin;food colors;E161I is a dye in synthetic form. The E161I is used very little, with the exception of bird food to dye chicken fat and egg yolks. The E161I is not listed as a food additive for human consumption by the United States FDA.;Doubtful, should be certified, unsafe
E161j;Astaxanthin;food colors;E161J is a dye in a synthetic or natural way. It has a red color and is obtained naturally by extraction of fatty fish crabs, molluscs and crustaceans. It is used in salmon and chickens so that their meat or eggs have a more intense color when it is commercialized. No side effects of additive E161J are known. The E161J is not widely used.;Doubtful, should be certified, unsafe
E162;Beetroot Red, Betanin;food colors;E162 is used as a natural coloring agent in food products and beverages. E162 is a red purple dye, derived from beet. Although widely used, E162 is unstable because it degrades in the presence of light, oxygen and high temperatures. E162 may contain nitrates and, therefore, should not be consumed by infants and young children. No other reports of adverse effects were found during our search. Depending on what material are used for the extraction phase, Halal solvents are sometimes used and Harama is sometimes used as methanol (alcohol). For this reason we leave it in the state of Mushbooh.;Halal
E163;Anthocyanins;food colors;It is used as a natural coloring agent in food products and beverages. E163 is a blue, red, violet, purple and brown dye derived from the cellular sap of plants, vegetables, fruits (black grapes, raspberries, cherries, cranberries) and flowers. They are divided into 6 categories: E163A, E163B, E163C, E163D, E163E, E163F, E163 is soluble in water and may contain sugars and minerals. It has anti-inflammatory properties and acts as an antioxidant when it is found in fruits and vegetables. Reports suggest that when consumed in adequate amounts, it is thought that this natural dye benefits human health.;Halal
E164;Saffron;food colors;E164 is an additive made of dark yellow to dark red carotenoid pigments, mainly crocin and crocetina of gardenias fruits (economical version) or flower stigmas of Crocus sativus (saffron, much more expensive). There is no information available on the extraction, chemical or natural, of the principle of dyeing. It could contain allergenic components when it comes to saffron. Natural saffron and crocin would have beneficial and protective properties for health. ;Doubtful, should be certified
E170(i);Calcium carbonate(i),;food colors;"E170 is a natural color, white to gray. E170 is a natural mineral present in sedimentary rocks and the most common form of which is limestone; It is also found in chalk, marble, coral and as a main component of egg shells, snails and marine animals. To date, the commercial form of calcium carbonate it is obtained from the grinding of limestone or by precipitation of calcareous ions with carbonate ions (precipitated calcium carbonate). It is divided into 2 classes: ul li Calcium Carbonate (E170i) li li Calcium Bicarbonate (E170ii) li ul It is commonly used in medicine as a calcium supplement or as an antacid, but excessive consumption can be dangerous.";Doubtful, should be certified
E171; Chalk;food colors;E171 is used as a natural coloring agent in food products and beverages. E171 is a white dye that is used to give opacity to food products. E171 is inert (not reactive) and is also used in the manufacture of paint and as a paper coating. At room temperature, E171 generally has the structure of rutile  (its mineral form). Titanium dioxide is extracted from the mineral ilmenite. In large doses it can block cellular respiration, especially in organs such as the liver and kidneys. A recent reassessment of this additive by the European Union, in tests conducted with animals, determined that their nanoparticles cause chromosomal damage and increase the chances of suffering cancer risk.  For the time being, its continued use is allowed while it is subjected to more tests that determine its admissible daily intake or if these effects are extrapolated to humans and, therefore, it is removed from the food market. Although many adverse effects have not been found, it is suspected that E171 acts as an irritant and possibly contaminates the waterways.;Doubtful, should be certified
E172;Titanium dioxide;food colors;E172 is used as a natural coloring agent in food and beverages. E172 is a red brown color that is available in three forms: ul li E172 (i): black iron oxide li li E172 (ii): red iron oxide li li E172 (iii): yellow iron oxide li ul Iron is not actively absorbed by body tissue. This dye can act as an irritant when it is in the form of a powder.;Halal
E173;Iron oxides and iron hydroxides;food colors;From plant origin;Halal
E174;Aluminium;food colors;From plant origin;Halal
E175;Silver;food colors;From plant origin;Halal
E180;Gold;food colors;It is used as a synthetic coloring agent in food products and beverages. It is obtained derived from petroleum. E180 is a red azo dye, which is insoluble in cold water, but it becomes slightly soluble in warmer water. People with intolerance to salicylates may also find that they are intolerant to E180, because the coloration is an azo dye.  E180 can also worsen asthma and have a negative effect on those who suffer from rhinitis or hives from skin disease. Possible hyperactivity in children. In large doses it is a histamine releaser and can increase the symptoms of asthma and produce eczema, hives and insomnia.  Because it is an azo dye it can cause intolerance  in people allergic to salicylic acid.    It is Halal if it is used as a powder. But it is Mushbooh if it is used in liquid form, since the extraction solvent could be Haram.;Doubtful, should be certified
E181;Pigment Rubine, Lithol Rubine BK;food colors;Commercially prepared from acorns or prepared synthetically ;Doubtful, should be certified
E182;Tannin;food colors;It is used as a synthetic coloring agent in food products and beverages. It is obtained derived from petroleum. E180 is a red azo dye, which is insoluble in cold water, but it becomes slightly soluble in warmer water. People with intolerance to salicylates may also find that they are intolerant to E180, because the coloration is an azo dye.  E180 can also worsen asthma and have a negative effect on those who suffer from rhinitis or hives from skin disease. Possible hyperactivity in children. In large doses it is a histamine releaser and can increase the symptoms of asthma and produce eczema, hives and insomnia.  Because it is an azo dye it can cause intolerance  in people allergic to salicylic acid.    It is Halal if it is used as a powder. But it is Mushbooh if it is used in liquid form, since the extraction solvent could be Haram.;Doubtful, should be certified
E200;Sorbic acid;preservative;The E200 is a preservative. The E200 occurs naturally in the fruit of European mountain ash (Sorbus aucuparia), also known as Azarollo, Rowan or Capudre, which gives its name to acid. It is produced commercially by several different chemical routes. It is used to prevent fungi and yeast.;Halal
E201;Sodium sorbate;preservative;E201 is a natural or synthetic preservative. It is a derivative of sorbic acid (E200). The E201 was isolated for the first time from the immature berries of the mountain ash, Sorbus Aucuparia, a small temperate tree. Commercially, today it would be synthesized chemically, especially from ketene. Sorbates are the salts of sorbic acid (E200). A chemical bond with simple bodies such as sodium, potassium or calcium forms the sodium sorbents E201, potassium E202 or calcium E203. It is used to prevent fungi and yeast. E201 is a questionable additive, suspected of being mutagenic in unclear conditions. Hypersensitivity and allergies not excluded in a fraction of sensitive consumers.;Halal
E202;Potassium sorbate;preservative;E202 is a natural or synthetic preservative. It is a derivative of sorbic acid (E200). The E202 was isolated for the first time from the immature berries of the mountain ash, Sorbus Aucuparia, a small temperate tree. Commercially, today it would be synthesized chemically, especially from ketene. Sorbates are the salts of sorbic acid (E200). A chemical bond with simple bodies such as sodium, potassium or calcium forms the sodium sorbents E201, potassium E202 or calcium E203. It is used to prevent fungi and yeast. E202 is a questionable additive, suspected of being mutagenic in unclear conditions. Hypersensitivity and allergies not excluded in a fraction of sensitive consumers.;Doubtful, should be certified
